Name,EP,GP,PR
HighPriority,608,29,20.97
Triqueta,684,57,12.00
Pigment,254,25,10.16
Gattyice,403,40,10.07
Doublecup,280,34,8.24
Cerio,434,53,8.19
Madara,312,42,7.43
Bowl,571,83,6.88
Feelingz,425,62,6.85
Kryptek,694,102,6.80
Imoto,574,124,4.63
Falmora,546,126,4.33
Naxxwrath,101,25,4.04
Suc,577,147,3.93
Tgw,298,78,3.82
Fragrock,552,146,3.78
Thatnameisun,414,133,3.11
Jaydawg,483,158,3.06
Sarck,624,212,2.94
Lindström,83,29,2.86
Corpsetaker,73,26,2.81
Harrywatter,246,88,2.80
Timestretch,437,162,2.70
Medea,664,249,2.67
Egrace,556,215,2.59
MooMooMoo,566,219,2.58
Cantuna,741,290,2.56
Dethcide,708,288,2.46
Kyx,692,282,2.45
Rift,110,48,2.29
Rozebush,696,309,2.25
Gettincash,646,290,2.23
Gintama,830,386,2.15
Einstok,640,301,2.13
Okara,605,301,2.01
Elkris,692,351,1.97
Tunacan,377,202,1.87
Baxterwar,704,384,1.83
Ganzu,589,335,1.76
Phanon,476,286,1.66
Anarkon,246,148,1.66
Lindo,673,424,1.59
Arkadus,535,368,1.45
Nazrapi,369,262,1.41
Sanghelli,249,182,1.37
Okuru,620,508,1.22
Azar,524,437,1.20
Garrkol,37,32,1.16
Thiccdps,47,42,1.12
Banesoul,468,424,1.10
Dotes,27,25,1.08
Imperiouslol,23,25,0.92
Vulzala,23,25,0.92
Vesuva,188,223,0.84
Axalt,34,48,0.71
Shoc,84,126,0.67
Shux,47,72,0.65
Eface,290,450,0.64
Cerrano,94,150,0.63
Maevae,57,91,0.63
Tassedar,317,516,0.61
Milfhunter,78,142,0.55
Damshaman,243,485,0.50
Evann,26,55,0.47
Efacex,11,25,0.44
Clypssa,11,25,0.44
Baxterhunter,11,25,0.44
Blazemaster,98,322,0.30
Minnfitten,78,275,0.28
Okiri,26,94,0.28
Lutcorehound,97,357,0.27
Cansalmon,19,86,0.22
Fliparican,5,25,0.20
Tobby,5,25,0.20
Succold,18,106,0.17
Cowward,4,25,0.16
Tennply,23,174,0.13
Boned,3,25,0.12
Rosabush,2,25,0.08
Quidproquo,2,25,0.08
Baxtermage,2,43,0.05
Zynum,1,25,0.04
Jodzy,1,25,0.04
Kolgarr,1,25,0.04
Shi,1,25,0.04
Ashkara,1,25,0.04
Nsc,1,25,0.04
Roozebush,1,25,0.04
Kalyka,1,25,0.04
Furytimmy,1,25,0.04
Ozuru,2,58,0.03
