Date,Aircraft Type,Aircraft Registration,Route of Flight From,Route of Flight Via,Route of Flight To,Duration of Flight,PIC,SIC,Cross Country,Dual Received,Solo,Part 121,Part 135,Day T-O,Day Ldg,Night T-O,Night Ldg,Approaches Instrument,Approaches Non-Instrument,Night,Actual Instrument,Simulated Instrument,Flight Simulator
2013-03-28,C310R,C310R,,,,23:54,,,5:36,23:54,,,,,,,,,,2:24,,,
2013-05-09,C172 C152,C172 C152,,,,227:06,77:24,,73:42,149:42,,,,,,,,,,16:06,,,
2016-11-18,C208B,C208B,,,,2006:36,1022:24,984:12,2006:36,,,,,,,,,,,173:54,122:24,,
2016-12-23,PA34,PA34,,,,1:46,1:46,,1:46,,,,,,,,,,,,,,
2016-12-27,,,,,,,,,,,,,,,,,,,,,,,13:00
2017-02-21,,,,,,,,,,,,,,,,,,,,,,,32:00
2017-03-02,,,,,,,,,,,,,,,,,,,,,,,6:15
2017-03-15,E170,N860RW,KORD,,KLGA,2:21,,2:21,2:21,,,,,1,1,,,,,,2:21,,
2017-03-15,E170,N860RW,KLGA,,KORD,2:17,,2:17,2:17,,,,,1,1,,,,,,2:17,,
2017-03-15,E170,N212JQ,KORD,,KLGA,2:05,,2:05,2:05,,,,,1,1,,,,,,2:05,,
2017-03-16,E170,N210JQ,KLGA,,KBNA,2:21,,2:21,2:21,,,,,1,1,,,,,,2:21,,
2017-03-16,E170,N210JQ,KBNA,,KLGA,2:12,,2:12,2:12,,,,,1,1,,,,,,2:12,,
2017-03-16,E170,N208JQ,KLGA,,KORD,2:15,,2:15,2:15,,,,,1,1,,,,,,2:15,,
2017-03-18,E170,N655RW,KORD,,KEYW,3:15,,3:15,3:15,,,,,1,1,,,,,,3:15,,
2017-03-18,E170,N655RW,KEYW,,KORD,3:32,,3:32,3:32,,,,,1,1,,,,,,3:32,,
2017-03-18,E170,N855RW,KORD,,KGRR,0:57,,0:57,0:57,,,,,1,1,,,,,,0:57,,
2017-03-19,E170,N655RW,KGRR,,KIAH,2:56,,2:56,2:56,,,,,1,1,,,,,,2:56,,
2017-03-19,E170,N655RW,KIAH,,KTUL,1:31,,1:31,1:31,,,,,1,1,,,,,,1:31,,
2017-03-20,E170,N864RW,KIAH,,KAUS,0:53,,0:53,0:53,,,,,1,1,,,,,,0:53,,
2017-03-20,E170,N864RW,KAUS,,KORD,2:36,,2:36,2:36,,,,,1,1,,,,,,2:36,,
2017-03-21,E170,N213JQ,KORD,,KLGA,1:53,,1:53,1:53,,,,,1,1,,,,,,1:53,,
2017-03-21,E170,N213JQ,KLGA,,KORD,2:38,,2:38,2:38,,,,,1,1,,,,,,2:38,,
2017-03-28,E170,N818MD,KORD,,KLGA,2:07,,2:07,2:07,,,,,1,1,,,,,,2:07,,
2017-03-29,E170,N871RW,KLGA,,KDCA,1:33,,1:33,1:33,,,,,,,,,,,,1:33,,
2017-03-29,E170,N870RW,KDCA,,KLGA,1:39,,1:39,1:39,,,,,1,1,,,,,,1:39,,
2017-04-02,E170,N207JQ,KLGA,,KBUF,1:18,,1:18,1:18,,,,,,,1,1,,,1:17,1:18,,
2017-04-03,E170,N205JQ,KBUF,,KDTW,1:06,,1:06,1:06,,,,,1,1,,,,,,1:06,,
2017-04-03,E170,N206JQ,KORD,,KLGA,2:17,,2:17,2:17,,,,,,,,,,,2:01,2:17,,
2017-04-07,E170,N201JQ,KCHS,,KLGA,2:26,,2:26,2:26,,,,,1,,,1,,,0:37,2:26,,
2017-04-07,E170,N201JQ,KLGA,,KCHS,2:06,,2:06,2:06,,,,,,,1,1,,,2:06,2:06,,
2017-04-10,E170,N431YX,KLGA,,KBNA,2:24,,2:24,2:24,,,,,1,1,,,,,,2:24,,
2017-04-10,E170,N431YX,KBNA,,KLGA,2:06,,2:06,2:06,,,,,1,,,1,,,2:01,2:06,,
2017-04-19,E170,N438YX,KLGA,,KXNA,3:04,,3:04,3:04,,,,,1,1,,,,,,3:04,,
2017-04-19,E170,N438YX,KXNA,,KLGA,2:51,,2:51,2:51,,,,,1,,,1,,,0:44,2:51,,
2017-04-20,E170,N211JQ,KLGA,,KBOS,1:47,,1:47,1:47,,,,,1,1,,,,,,1:47,,
2017-04-20,E170,N211JQ,KBOS,,KLGA,1:20,,1:20,1:20,,,,,,,1,1,,,1:19,1:20,,
2017-04-23,E170,N875RW,KLGA,,KDFW,3:51,,3:51,3:51,,,,,1,,,1,,,2:45,3:51,,
2017-04-23,E170,N873RW,KORD,,KLGA,1:56,,1:56,1:56,,,,,1,1,,,,,,1:56,,
2017-04-24,E170,N876RW,KLGA,,KROC,1:08,,1:08,1:08,,,,,,,1,1,,,1:07,1:08,,
2017-04-24,E170,N213JQ,KDFW,,KLGA,3:56,,3:56,3:56,,,,,1,,,1,,,0:28,3:56,,
2017-04-25,E170,N874RW,KROC,,KLGA,1:24,,1:24,1:24,,,,,1,1,,,,,,1:24,,
2017-04-25,E170,N205JQ,KLGA,,KORD,2:13,,2:13,2:13,,,,,1,,,1,,,1:40,2:13,,
2017-04-29,E170,N862RW,KORD,,KEYW,3:02,,3:02,3:02,,,,,1,1,,,,,,3:02,,
2017-04-29,E170,N862RW,KEYW,,KORD,3:19,,3:19,3:19,,,,,1,1,,,,,,3:19,,
2017-04-30,E170,N656RW,KORD,,KATL,2:16,,2:16,2:16,,,,,1,1,,,,,,2:16,,
2017-04-30,E170,N656RW,KATL,,KIAH,2:37,,2:37,2:37,,,,,1,1,,,,,,2:37,,
2017-04-30,E170,N631RW,KIAH,,KOMA,2:01,,2:01,2:01,,,,,,,1,1,,,2:01,2:01,,
2017-05-01,E170,N632RW,KOMA,,KORD,1:30,,1:30,1:30,,,,,1,1,,,,,,1:30,,
2017-05-04,E170,N874RW,KLGA,,KDCA,1:27,,1:27,1:27,,,,,1,1,,,,,,1:27,,
